ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786784702,2026-08-15T16:05:02+07:00,11.1,99,2.5,578
1786784703,2026-08-15T16:05:03+07:00,0.1,98,251.3,355
1786784704,2026-08-15T16:05:04+07:00,0.0,98,2.7,355
1786784705,2026-08-15T16:05:05+07:00,0.0,98,0.2,355
1786784707,2026-08-15T16:05:07+07:00,0.0,99,4.1,367
1786784708,2026-08-15T16:05:08+07:00,0.8,99,4.4,367
1786784709,2026-08-15T16:05:09+07:00,7.3,59,2.5,368
1786784710,2026-08-15T16:05:10+07:00,1.6,59,5.4,368
1786784711,2026-08-15T16:05:11+07:00,1.5,59,4.6,368
1786784712,2026-08-15T16:05:12+07:00,2.2,59,4.6,368
1786784713,2026-08-15T16:05:13+07:00,3.2,60,11.1,368
1786784714,2026-08-15T16:05:14+07:00,0.6,60,7.8,368
1786784715,2026-08-15T16:05:15+07:00,2.2,60,17.2,369
1786784716,2026-08-15T16:05:16+07:00,1.0,60,1.6,369
1786784717,2026-08-15T16:05:17+07:00,1.9,60,5.6,370
1786784719,2026-08-15T16:05:19+07:00,4.5,59,8.8,370
1786784720,2026-08-15T16:05:20+07:00,3.6,60,10.0,370
1786784721,2026-08-15T16:05:21+07:00,2.7,60,6.8,370
1786784722,2026-08-15T16:05:22+07:00,3.6,60,11.5,370
1786784723,2026-08-15T16:05:23+07:00,2.7,61,8.6,370
1786784724,2026-08-15T16:05:24+07:00,3.4,60,4.4,371
1786784725,2026-08-15T16:05:25+07:00,1.6,60,2.4,371
1786784726,2026-08-15T16:05:26+07:00,2.7,60,5.9,371
1786784727,2026-08-15T16:05:27+07:00,4.4,61,8.8,371
1786784728,2026-08-15T16:05:28+07:00,2.3,62,9.3,371
1786784729,2026-08-15T16:05:29+07:00,2.8,61,6.8,371
1786784730,2026-08-15T16:05:30+07:00,1.9,61,4.0,371
1786784731,2026-08-15T16:05:31+07:00,4.0,61,8.1,372
1786784733,2026-08-15T16:05:33+07:00,2.4,62,3.2,372
1786784734,2026-08-15T16:05:34+07:00,1.1,62,3.5,372
1786784735,2026-08-15T16:05:35+07:00,4.4,62,8.2,372
1786784736,2026-08-15T16:05:36+07:00,2.9,62,3.8,372
1786784737,2026-08-15T16:05:37+07:00,2.7,62,1.8,372
1786784738,2026-08-15T16:05:38+07:00,2.1,62,3.4,373
1786784739,2026-08-15T16:05:39+07:00,3.4,63,4.1,373
1786784740,2026-08-15T16:05:40+07:00,4.8,64,6.5,373
1786784741,2026-08-15T16:05:41+07:00,3.4,63,3.0,373
1786784742,2026-08-15T16:05:42+07:00,2.1,63,4.6,373
1786784743,2026-08-15T16:05:43+07:00,4.9,63,7.3,373
1786784744,2026-08-15T16:05:44+07:00,1.0,63,1.8,373
1786784746,2026-08-15T16:05:46+07:00,4.7,63,4.8,373
1786784747,2026-08-15T16:05:47+07:00,3.2,64,4.2,374
1786784748,2026-08-15T16:05:48+07:00,5.6,64,4.3,374
1786784749,2026-08-15T16:05:49+07:00,4.5,63,3.7,374
1786784750,2026-08-15T16:05:50+07:00,4.5,64,3.7,374
1786784751,2026-08-15T16:05:51+07:00,2.8,64,3.0,374
1786784752,2026-08-15T16:05:52+07:00,0.9,65,2.7,374
1786784753,2026-08-15T16:05:53+07:00,2.2,65,2.5,375
1786784754,2026-08-15T16:05:54+07:00,2.2,65,2.7,375
1786784755,2026-08-15T16:05:55+07:00,2.5,64,8.3,375
1786784756,2026-08-15T16:05:56+07:00,3.6,65,3.4,375
1786784758,2026-08-15T16:05:58+07:00,2.8,65,5.7,375
1786784759,2026-08-15T16:05:59+07:00,1.4,66,3.1,375
1786784760,2026-08-15T16:06:00+07:00,5.2,66,7.6,375
1786784761,2026-08-15T16:06:01+07:00,2.6,66,7.9,376
1786784762,2026-08-15T16:06:02+07:00,6.8,65,3.1,376
