participant_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
P01,2,2,4,3,3,4,4,1,4,1
P02,2,2,4,3,2,1,4,2,3,1
P03,2,2,3,2,1,4,4,2,2,1
P04,2,2,4,2,2,4,4,2,2,2
P05,3,1,4,2,3,3,4,1,5,3
P06,4,2,4,1,5,2,3,2,2,3
P07,3,3,2,2,4,4,2,4,3,4
